session;trial_type;correct;holding_time
1;right;True;1.0
1;right;True;1.0
1;right;True;1.5
1;left;False;1.5
1;right;True;2.0
1;right;True;0.5
1;right;True;2.0
1;left;False;0.5
1;right;True;2.0
1;right;True;0.5
1;right;False;0.5
1;right;False;2.0
1;right;True;0.5
1;left;False;1.0
1;right;True;1.5
1;right;False;2.0
1;right;True;1.5
1;right;True;0.5
1;right;True;0.5
1;left;True;2.0
1;left;False;2.0
1;right;True;0.5
1;right;True;1.0
2;right;False;1.0
2;right;True;0.5
2;right;True;1.0
2;left;True;2.0
2;left;False;1.0
2;right;True;1.5
2;right;False;1.5
2;left;True;0.5
2;left;True;1.0
2;left;False;1.5
2;left;True;0.5
2;right;False;0.5
2;left;True;1.0
2;right;False;1.0
2;left;False;0.5
2;left;True;0.5
2;left;True;0.5
2;left;True;0.5
2;right;False;2.0
2;left;True;2.0
2;right;True;0.5
2;left;True;1.5
2;left;False;1.5
2;right;True;2.0
2;left;True;1.5
3;right;True;1.0
3;left;True;1.0
3;right;True;2.0
3;right;True;1.0
3;right;False;1.0
3;right;True;1.5
3;left;False;2.0
3;left;False;2.0
3;right;True;2.0
3;left;True;1.0
3;left;True;1.5
3;left;False;1.5
3;left;True;2.0
3;left;True;0.5
3;left;True;1.5
3;right;True;0.5
3;right;False;2.0
3;left;True;0.5
3;right;False;1.0
3;left;True;1.0
3;left;True;2.0
3;right;True;1.5
3;right;False;1.0
3;left;True;2.0
3;right;True;1.0
3;left;True;2.0
3;left;True;1.5
3;right;True;1.0
3;right;False;1.5
3;left;True;0.5
3;right;True;0.5
3;left;False;0.5
3;right;True;0.5
3;right;True;1.5
3;left;False;2.0
3;left;False;0.5
3;right;True;1.5
3;left;True;1.5
3;left;False;2.0
3;right;False;0.5
3;right;True;0.5
3;left;True;1.5
3;right;True;1.0
3;left;False;1.0
3;left;True;2.0
3;right;False;0.5
3;right;True;0.5
3;left;False;2.0
3;right;False;1.0
3;right;True;1.0
3;right;True;0.5
3;left;True;2.0
3;right;False;1.0
3;right;True;2.0
3;right;True;2.0
3;right;False;1.0
3;left;True;1.0
3;right;True;2.0
3;right;False;0.5
3;right;True;0.5
4;right;False;1.5
4;left;True;1.5
4;left;False;0.5
4;left;True;1.5
4;left;False;2.0
4;right;True;1.5
4;right;True;1.5
4;right;False;2.0
4;right;True;2.0
4;left;True;1.5
4;left;False;2.0
4;right;True;1.5
4;left;True;0.5
4;right;True;2.0
4;right;True;0.5
4;right;True;0.5
4;left;False;2.0
4;left;True;1.0
4;left;True;2.0
4;left;True;1.5
4;left;True;1.0
4;right;False;0.5
4;left;True;1.5
4;left;True;1.5
4;left;True;2.0
4;left;True;1.5
4;right;True;0.5
4;left;True;1.5
4;left;False;0.5
4;left;True;2.0
4;right;True;1.0
4;left;True;0.5
4;left;True;1.0
4;right;False;1.5
4;left;False;2.0
4;right;True;0.5
4;left;True;0.5
4;left;False;1.0
4;right;True;1.5
4;right;True;2.0
4;left;True;0.5
4;left;True;2.0
4;left;True;1.0
4;left;False;0.5
4;right;True;0.5
4;left;False;1.5
4;right;True;2.0
4;left;True;1.5
4;right;True;1.5
4;right;False;1.5
5;left;True;1.0
5;left;False;2.0
5;right;True;1.5
5;left;True;2.0
5;left;False;2.0
5;right;False;2.0
5;left;True;1.5
5;left;True;1.5
5;right;True;0.5
5;right;True;1.0
5;left;True;1.0
5;left;True;0.5
5;left;True;2.0
5;left;False;1.5
5;right;True;1.5
5;left;True;0.5
5;left;True;1.0
5;right;True;0.5
5;right;True;0.5
5;left;False;1.0
5;right;True;0.5
5;left;False;0.5
5;left;False;1.0
5;left;True;2.0
5;right;True;1.5
5;right;True;1.0
5;left;True;1.5
5;right;True;1.5
5;left;True;0.5
5;right;True;2.0
5;right;True;0.5
5;right;True;2.0
5;right;True;0.5
5;left;True;1.5
5;left;True;2.0
5;left;True;1.0
5;left;False;1.5
5;left;True;1.5
5;right;False;1.0
5;left;True;1.0
5;right;True;1.0
5;left;True;2.0
5;right;True;1.0
5;left;False;0.5
5;right;False;2.0
5;right;True;1.5
5;left;True;0.5
5;left;True;0.5
5;right;True;1.5
5;left;True;0.5
5;left;True;2.0
5;right;False;0.5
5;left;True;1.0
5;left;True;2.0
5;left;True;1.5
5;right;True;2.0
5;left;True;1.0
5;left;True;0.5
5;left;True;1.0
5;left;True;1.0
5;right;True;0.5
5;right;True;0.5
5;right;True;1.5
5;right;True;1.5
5;left;False;0.5
5;right;True;0.5
5;right;False;1.5
5;right;True;1.5
5;right;False;2.0
5;right;True;0.5
5;left;True;1.5
5;left;True;1.5
5;right;True;2.0
5;right;True;1.0
5;right;True;1.0
5;left;True;1.5
5;right;False;0.5
5;right;True;1.5
5;right;True;1.5
5;right;True;1.5
5;left;True;1.0
5;right;True;1.5
5;right;False;1.5
5;left;True;1.5
5;right;True;1.0
5;right;False;2.0
5;right;False;1.0
5;left;True;1.5
5;left;True;1.0
5;left;True;1.0
5;right;True;0.5
5;left;False;0.5
5;left;True;1.5
5;right;True;1.5
5;left;False;1.5
5;right;False;1.5
5;right;True;2.0
5;right;True;1.0
5;right;False;2.0
5;left;True;2.0
5;right;False;0.5
5;right;False;1.5
5;right;True;2.0
5;left;True;0.5
5;left;False;1.5
5;right;True;0.5
5;left;True;1.0
5;left;False;1.5
5;right;False;1.0
5;right;True;2.0
5;right;True;0.5
5;right;True;1.5
6;left;True;1.0
6;right;True;1.0
6;left;True;2.0
6;right;True;1.0
6;right;True;1.5
6;left;True;1.0
6;left;True;0.5
6;right;True;0.5
6;left;True;2.0
6;right;True;0.5
6;left;False;1.5
6;right;True;0.5
6;left;True;0.5
6;right;False;2.0
6;left;True;0.5
6;right;True;1.5
6;left;True;1.0
6;right;True;0.5
6;left;False;1.5
6;left;True;2.0
6;left;False;1.0
6;right;True;1.5
6;left;True;1.5
6;right;True;1.5
6;left;False;1.5
6;left;True;1.5
6;right;True;1.5
6;right;True;1.5
6;left;False;1.5
6;right;True;2.0
6;right;True;0.5
6;right;False;0.5
6;left;True;1.5
6;left;True;2.0
6;right;True;1.0
6;right;True;1.0
6;right;True;1.5
6;left;True;1.0
6;left;False;1.0
6;right;True;1.5
6;right;True;1.5
6;left;True;1.5
6;right;True;2.0
6;left;True;1.5
6;right;True;1.0
6;left;False;2.0
6;right;True;1.0
6;right;False;0.5
6;left;True;2.0
6;left;True;1.5
6;left;False;1.5
6;left;True;0.5
6;right;True;0.5
6;right;True;1.5
6;left;True;0.5
6;right;True;2.0
6;left;True;2.0
6;left;True;1.5
6;left;True;1.0
6;right;False;1.5
6;right;True;1.5
6;right;True;1.5
6;right;True;0.5
6;left;True;1.5
6;right;False;0.5
6;right;True;1.0
